Study Num,Study Title (O),Authors (O),Journal (O),Volume (O),Issue (O),Pages (O),Project URL,Descriptors (O),Number of Authors (O),Number of Authors (R),1st author (O),"Citation Count, 1st author (O)",Institution 1st author (O),Senior author (O),"Citation count, senior author (O)",Institution senior author (O),1st author (R),"Citation count, 1st author (R)",Institution 1st author (R),Senior author (R),"Citation count, senior author (R)",Institution senior author (R),"Citation count, paper (O)",Unnamed: 24,"Institution prestige, 1st author (O)","Institution prestige, senior author (O)","Institution prestige, 1st author (R)","Institution prestige, senior author (R)",Number of Studies (O),Discipline (O),Number of research sites (O),Secondary data (O),Methodology expertise required (O),Opportunity for expectancy bias (O),Opportunity for lack of diligence (O),Surprising result (O),Exciting result (O),Internal conceptual replications (O),Successful conceptual replications (O),Internal direct replications (O),Successful direct replications (O),Feasibility (O),Status (R),Completion (R),Secondary (R),Contact Researcher (R),Study claim date (R),Analysis completion date (R),Coder's email (R),Replicated study number (R),Test statistic (O),N (O),Reported P-value (O),Calculated P-value (O),# Tails (O),Type of analysis (O),Type of effect (O),Description of effect (O),Effect size (O),Actual Power (O),80% power,90% power,95% power,Collect materials from authors,Planned Sample,Planned Power,Original Author's Assessment,OSC reviewer (O),Test statistic (R),N (R),P-value (R),Direction (R),# Tails (R),Type of analysis (R),Type of effect (R),Replicate (R),Power (R),Effect Size (R),OSC reviewer (R),Notes (R),Project audit complete (R),R check location (R),Degree (R),Year of highest degree (R),Current position (R),Domain expertise (R),Method expertise (R),Total publications (R),Peer-reviewed articles (R),Citations (R),Implementation quality (R),Data collection quality (R),Replication similarity (R),Differences (R),Effect similarity (R),Findings similarity (R),Difficulty of implimentation (R),Surprise of outcome (R),Dummy,Number of Research sites (R),Secondary data (R),Area of expertise (R),T_N..O.,T_Test.Statistic..O.,T_TestComparison..O.,T_df1..O.,T_df2..O.,T_Test.value..O.,T_p.comparison..O.,T_pval..O.,T_pval.recalc..O.,T_pval_USE..O.,T_sign..O.,T_r..O.,T_N..R.,T_Test.Statistic..R.,T_Test.Comparison..R.,T_df1..R.,T_df2..R.,T_Test.value..R.,T_p.comparison..R.,T_pval..R.,T_pval.recalc..R.,T_pval_USE..R.,T_sign..R.,T_r..R.,T_Comparison.effects..R.O.,Type of analysis (O).1,Type of analysis (R).1,Unnamed: 130,T_sign_O,T_sign_R,T_O_larger,T_N_O_for_tables,T_N_R_for_tables,Meta-analytic estimate (Fz),O within CI R,Meta-analysis significant
32.0,Accounting for occurrences A new view of the use of contingency information in causal judgment,PA White,JEPLMC,34.0,1.0,204-18,https://osf.io/rhbqj/,"Association Learning, Causality, Humans, Judgment, Likelihood Functions, Probability Learning, Problem Solving",1.0,2.0,White,1472.0,Cardiff University,White,1472.0,Cardiff University,MÙller,65.0,University of Erfurt,Renkewitz,65.0,University of Erfurt,11.0,,3.07,3.07,1.65,1.65,5.0,Cognitive,1.0,Collected themselves,No expertise required,No opportunity for researcher expectations to influence results,Slight opportunity for lack of diligence to affect the results,3.5,2.33,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,F Renkewitz,5/31/12,11/17/12,F Renkewitz,3,"F(1, 36) = 22.88",37,<.001,,,RM ANOVA,main effect,examines information that influences causal judgments; A+ instances should tend to raise judgment of A and lower judgment of B as causes for the outcome,__p^2 = .427,,3,4,4,Complete,37.0,0.95,1,G Jahn,"F(1, 37) =11.12",38.0,0.002,same,,RM ANOVA,main effect,yes,0.99,__p^2 = .15,G Jahn,Power calculations assume a correlation of r = .5 between repeated measures,1.0,https://osf.io/ygh35/,PhD or equivalent,2004.0,Associate Professor (or equivalent),Some Expertise,Moderate Expertise,25.0,11.0,609.0,was about the same quality as the original study,was about the same as the average study,Extremely similar,"We conducted the experiment computer-based, not as a paper-pencil test. The experiment was run at a German University, not in UK. - I have no idea if any of these differences altered the effect (and the key effects were extremely similar in both studies).",Extremely similar,Very similar,Moderately challenging,Results were slightly surprising,X,1.0,No data used was pre-existing,Cognitive,37.0,F,is,1.0,36.0,22.88,<,0.001,2.91e-05,2.91e-05,,0.623367433,38.0,F,is,1.0,37.0,11.12,is,0.002,0.001950822,0.001950822,,0.480717115,,within 2x3 ANOVA,within 2x3 ANOVA,,1.0,1.0,1.0,36.0,37.0,0.625750439,1.0,1.0
33.0,Multiple roles for time in shortterm memory Evidence from serial recall of order and timing,S Farrell,JEPLMC,34.0,1.0,128-45,https://osf.io/swrhy/,"Association Learning, Attention, Discrimination Learning, Humans, Memory, Short-Term, Pattern Recognition, Visual, Reading, Serial Learning, Speech Perception, Time Perception",1.0,2.0,Farrell,1830.0,University of Bristol,Farrell,1830.0,University of Bristol,Olsson,0.0,MIT,Saxe,8175.0,MIT,27.0,,2.69,2.69,6.42,6.42,3.0,Cognitive,1.0,Collected themselves,Strong expertise required,Slight opportunity for researcher expectations to influence results,Slight opportunity for lack of diligence to affect the results,1.5,4.33,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,R Saxe,1-1-2012,5/24/12,R Saxe,2,t(39) = 3.77,40,0.001,,,paired sample t-test,main effect,t instructing participants to group items induces a temporal gap between the groups both when trying to recall the order of the items and when trying to recall the timing of the items,d=0.6,,24,32,39,Complete,40.0,0.95,1,X,t(39) = 2.08,40.0,0.044,same,,paired sample t-test,main effect,yes,0.95,d = .37,J Grange,,1.0,https://osf.io/nmpdc/,PhD or equivalent,2003.0,Associate Professor (or equivalent),Some Expertise,Moderate Expertise,110.0,76.0,8089.0,was about the same quality as the original study,was about the same as the average study,Very similar,Methodology is unlikely to account for differences.,Very similar,Very similar,Moderately challenging,Results were slightly surprising,X,1.0,No data used was pre-existing,Cognitive neuroscience,40.0,t,is,1.0,39.0,3.77,is,0.001,0.000541079,0.000541079,,0.516812354,40.0,t,is,1.0,39.0,2.08,is,0.044,0.04414462,0.04414462,,0.315999964,,paired sample t-test,paired sample t-test,,1.0,1.0,1.0,39.0,39.0,0.449588828,1.0,1.0
36.0,An attentionbased associative account of adjacent and nonadjacent dependency learning,"S Pacton, P Perruchet",JEPLMC,34.0,1.0,80-96,https://osf.io/vmz2e/,"Association Learning, Attention, Field Dependence-Independence, Humans, Orientation, Pattern Recognition, Visual, Problem Solving, Reproducibility of Results",2.0,1.0,Pacton,1341.0,Paris Descartes University,Perruchet,5255.0,University of Burgundy,Jahn,515.0,University of Greifswald,Jahn,515.0,University of Greifswald,72.0,,2.25,1.65,1.5,1.5,5.0,Cognitive,1.0,Collected themselves,No expertise required,No opportunity for researcher expectations to influence results,No opportunity for lack of diligence to affect the results,3.0,3.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,G Jahn,7/22/12,11/21/12,G Jahn,4b,"F(1, 20) = 20.79",24,<.01,,,mixed ANOVA,main effect,number of correct responses differed only as a function of the type of dependency,__p^2 = .51,,8,8,8,No response,24.0,0.95,9,F Renkewitz,"F(1, 20)=17.35",24.0,0.00048,same,,mixed ANOVA,main effect,yes,0.99,__p^2 = .46,F Renkewitz,,1.0,https://osf.io/3kn4c/,PhD or equivalent,2001.0,Professor (or equivalent),High Expertise,High Expertise,46.0,19.0,509.0,was about the same quality as the original study,was about the same as the average study,Extremely similar,"Generating the materials (symbol sequences) involves randomness, therefore the original and the replication materials are not identical (original materials could not be obtained).",Extremely similar,Extremely similar,Moderately challenging,Results were slightly surprising,X,1.0,No data used was pre-existing,Cognitive,24.0,F,is,1.0,20.0,20.79,<,0.01,0.000190422,0.000190422,,0.713921386,24.0,F,is,1.0,20.0,17.35,is,0.00048,0.00047793,0.00047793,,0.681560537,,mixed ANOVA,mixed ANOVA,,1.0,1.0,1.0,20.0,20.0,0.863579432,1.0,1.0
37.0,Orienting attention in visual working memory reduces interference from memory probes,"T Makovski, R Sussman, YV Jiang",JEPLMC,34.0,2.0,369-80,https://osf.io/0pxro/,"Adolescent, Adult, Attention, Color Perception, Cues, Discrimination Learning, Female, Humans, Inhibition (Psychology), Male, Memory, Short-Term, Orientation, Pattern Recognition, Visual, Psychophysics, Reaction Time, Retention (Psychology)",3.0,1.0,Makovski,578.0,Harvard University,Jiang,6598.0,Harvard University,Moore,1167.0,Elmhurst College,Moore,1167.0,Elmhurst College,116.0,,6.74,6.74,1.78,1.78,3.0,Cognitive,1.0,Collected themselves,Slight expertise required,Slight opportunity for researcher expectations to influence results,Slight opportunity for lack of diligence to affect the results,1.67,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,K Moore,6/22/12,4/15/13,K Moore,3,"F(1,11) = 4.8",12,<.05,,,RM ANOVA,interaction,"For both the shape and color conditions, there will be an effect of cue type (retro cue better than simultaneous cue) on recall at all set sizes except for set size 1.",__p^2 = .3037,,23,30,36,Complete,18.0,0.69,1,original authors,"F(1,17)=2.37",18.0,0.142,same,,RM ANOVA,interaction,yes,0.69,__p^2 = .122,J Cohoon,,1.0,https://osf.io/saq6x/,PhD or equivalent,2010.0,Assistant Professor (or equivalent),Moderate Expertise,High Expertise,16.0,12.0,1155.0,was about the same quality as the original study,was about the same as the average study,Extremely similar,"We used the original authors' scripts. The only differences were the room and the undergraduate population tested. The room might have had different lighting or monitor settings, but the timing was precise (the most important variable). The settings seemed about the same, and the results worked out about the same as well.",Moderately similar,Extremely similar,Slightly challenging,Results were slightly surprising,X,1.0,No data used was pre-existing,Cognitive,12.0,F,is,1.0,11.0,4.8,<,0.05,0.05088911,0.05088911,,0.551178255,18.0,F,is,1.0,17.0,2.37,is,0.142,0.142093022,0.142093022,,0.349791589,,ANOVA,repeated measures ANOVA,,1.0,0.0,1.0,11.0,17.0,0.463231604,1.0,1.0
39.0,Decision making and learning while taking sequential risks,TJ Pleskac,JEPLMC,34.0,1.0,167-85,https://osf.io/38ges/,"Adolescent, Adult, Association Learning, Bayes Theorem, Choice Behavior, Culture, Decision Making, Decision Theory, Female, Gambling [psychology], Health Behavior, Humans, Individuality, Male, Pattern Recognition, Visual, Psychomotor Performance, Risk-Taking, Stochastic Processes, Substance-Related Disorders [psychology]",1.0,4.0,Pleskac,848.0,Indiana University,Pleskac,848.0,Indiana University,Forsell,1.0,Stockholm School of Economics,Johannesson,15770.0,Stockholm School of Economics,40.0,,3.53,3.53,2.2,2.2,1.0,Cognitive,1.0,Collected themselves,Moderate expertise required,Slight opportunity for researcher expectations to influence results,Moderate opportunity for lack of diligence to affect the results,3.5,4.25,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,E Forsell,8/20/14,11/26/14,J Cohoon,1,z = 3.10,68,<.05,,,Test of contrast of 4 correlated correlations.,main effect,comparison of correlations between ART and drug use in sunny versus cloudy conditions; a successful replication would find that the learning process hinders the diagnosticity of the ART in identifying individuals at increased risk of using hazardous drugs.,X,,60,80,99,Complete,72.0,0.87,9,B Lassetter,z = 1.25,153.0,0.21,same,2.0,Test of contrast of 4 correlated correlations.,main effect,no,0.87,X,A Laique,were unable to calculate power,1.0,https://osf.io/scqrd/,PhD or equivalent,1991.0,Professor (or equivalent),Some Expertise,Some Expertise,200.0,150.0,15633.0,was about the same quality as the original study,was about the same as the average study,Virtually identical,"The procedure, materials and analysis was identical to the original study. The average drug use and the variation in the drug use was lower than in the original study, and it cannot be ruled out that this has affected the results.",Slightly similar,Somewhat similar,Moderately challenging,Results were somewhat surprising,X,1.0,No data used was pre-existing,behavioral/experimental economics,68.0,z,is,,,3.1,<,0.05,0.001935206,0.001935206,,0.366615713,153.0,z,is,,,1.25,is,0.21,0.211299547,0.211299547,,0.101709161,,Test of contrast of 4 correlated correlations.,Comparison of difference between pairs of 2 correlations.,,1.0,0.0,1.0,68.0,153.0,,,
43.0,The rejection of moral rebels Resenting those who do the right thing,"B Monin, PJ Sawyer, MJ Marquez",JPSP,95.0,1.0,76-93,https://osf.io/pz0my/,"Adult, Character, Culture, Defense Mechanisms, Female, Humans, Imagination, Judgment, Male, Morals, Prejudice, Rejection (Psychology), Self Concept, Social Conformity, Social Desirability, Social Perception, Social Responsibility",3.0,2.0,Monin,2351.0,Stanford University,Monin,2351.0,Stanford University,Holubar,0.0,Stanford University,Frank,1965.0,Stanford University,88.0,,6.54,6.54,6.54,6.54,4.0,Social,1.0,Collected themselves,Slight expertise required,Slight opportunity for researcher expectations to influence results,Moderate opportunity for lack of diligence to affect the results,3.75,3.75,3.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,T Holubar,1-1-2012,3/15/12,S Fiedler,4,"F(2, 64) = 10.17",67,<.01,,,"ANOVA, omnibus",main effect,participants who self affirm rated moral rebels as highly as they rated obedient confederates,__p^2 = 0.241,,36,45,54,Complete,54.0,0.95,X,M Frank,"F(2, 72) = 1.97",75.0,0.1469,same,2.0,"ANOVA, omnibus",main effect,no,0.99,_^2 = 0.052,M Frank,,1.0,https://osf.io/27gpt/,PhD or equivalent,2010.0,Associate Professor (or equivalent),Some Expertise,Moderate Expertise,80.0,32.0,1995.0,was about the same quality as the original study,was about the same as the average study,Very similar,Data were collected on MTurk.,Not at all similar,Somewhat similar,Not at all challenging,Results were somewhat surprising,X,1.0,No data used was pre-existing,Developmental,67.0,F,is,2.0,64.0,10.17,<,0.01,0.000146111,0.000146111,,0.347251138,75.0,F,is,2.0,72.0,1.97,is,0.1469,0.146902278,0.146902278,,0.161063754,,"ANOVA, omnibus",ANOVA,,1.0,0.0,1.0,64.0,72.0,,0.0,
44.0,Why do implicit and explicit attitude tests diverge? The role of structural fit,"BK Payne, MA Burkley, MB Stokes",JPSP,94.0,1.0,16-31,https://osf.io/rc6mv/,"Adolescent, Adult, Alcohol Drinking, Analysis of Variance, Attitude, Behavioral Research [methods], Cognition, Emotions, Factor Analysis, Statistical, Female, Humans, Male, Prejudice, Psychological Tests, Reproducibility of Results, Social Conformity, Social Perception, Truth Disclosure",3.0,1.0,Payne,3452.0,"UNC, Chapel Hill",Payne,3452.0,"UNC, Chapel Hill",Vianello,493.0,University of Padua,Vianello,493.0,University of Padua,165.0,,4.25,4.25,1.97,1.97,4.0,Social,1.0,Collected themselves,No expertise required,No opportunity for researcher expectations to influence results,Slight opportunity for lack of diligence to affect the results,3.0,4.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,M Vianello,1-1-2012,4/21/12,M Vianello,4,t(67) = 3.08,70,<.01,,,hierachical multiple linear regression,correlation,looking for a significant change in R^2; relationship between authors' direct and indirect procedures is moderated by percieved pressure to respond in a socially desirable manner ,_R^2=.09,,82,109,134,Complete,134.0,0.95,2,K Ratliff,t(176)= 2.016,180.0,0.045,same,,hierachical multiple linear regression,correlation,yes,0.99,_R^2 = .016,K Ratliff,(K. Payne sent all materials not available in the paper on Jan.31.12),1.0,https://osf.io/u23g9/,PhD or equivalent,2006.0,Assistant Professor (or equivalent),High Expertise,Moderate Expertise,38.0,26.0,367.0,was about the same quality as the original study,was about the same as the average study,Virtually identical,Italian sample vs US sample (original).,Somewhat similar,Very similar,Slightly challenging,Results were slightly surprising,X,1.0,No data used was pre-existing,both social and I&O psych,70.0,t,is,1.0,67.0,3.08,<,0.01,0.003000884,0.003000884,,0.352175067,180.0,t,is,1.0,176.0,2.016,is,0.045,0.045320778,0.045320778,,0.150236955,,hierachical multiple linear regression,hierachical multiple linear regression,,1.0,1.0,1.0,67.0,176.0,0.210684749,0.0,1.0
46.0,The developmental psychometrics of big five selfreports Acquiescence factor structure coherence and differentiation from ages 10 to 20,"CJ Soto, OP John, SD Gosling, J Potter",JPSP,94.0,4.0,718-37,https://osf.io/kez47/,"Adolescent, Adult, Child, Comprehension, Data Collection, Extraversion (Psychology), Female, Humans, Informed Consent, Internet, Language Development, Male, Patient Selection, Personality Development, Personality Inventory [statistics & numerical data], Psychometrics [statistics & numerical data], Reproducibility of Results, Self Concept, Vocabulary",4.0,1.0,Soto,1792.0,"UC, Berkeley",John,36658.0,"UC, Berkeley",Soderberg,2.0,Center for Open Science,Soderberg,2.0,Center for Open Science,132.0,,5.61,5.61,3.07,3.07,1.0,Social,1.0,Some of both,Strong expertise required,No opportunity for researcher expectations to influence results,No opportunity for lack of diligence to affect the results,2.75,2.75,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,C Soderberg,7/15/14,12/18/14,M Kidwell,1,"F(21, 230025) = 118.15",230047,<.001,,1.0,LeveneÍs test for equality of variance,main effect,younger respondents show greater individual differences (variance) in their acquiescent response tendencies than older respondents.,X,,103,108,125,Complete,571143.0,0.99,1,A Laique,"F(21, 455304) = 261.93",455326.0,2.2 x 10-16,same,,LeveneÍs test for equality of variance,interaction,yes,0.99,X,L Lazarevic,,1.0,https://osf.io/3y9sj/,PhD or equivalent,2014.0,Post-doc or Research Scientist,Slight Expertise,Some Expertise,3.0,2.0,2.0,was about the same quality as the original study,was about the same as the average study,Virtually identical,none,Virtually identical,Extremely similar,Not at all challenging,Results were exactly as anticipated,X,1.0,All data used was pre-existing,Social,230047.0,F,is,21.0,230025.0,118.15,<,0.001,0.0,0.0,,0.022542373,455326.0,F,is,21.0,455304.0,261.93,is,2.2e-16,0.0,0.0,,0.023841537,,LeveneÍs test for equality of variance,levene's test for homogeneity of variance,,1.0,1.0,0.0,230025.0,455304.0,,0.0,
48.0,Terror management and adults attachment to their parents The safe haven remains,"CR Cox, J Arndt, T Pyszczynski, J Greenberg, A Abdollahi, S Solomon",JPSP,94.0,4.0,696-717,https://osf.io/5tbxf/,"Adaptation, Psychological, Adolescent, Adult, Adult Children [psychology], Attitude to Death, Defense Mechanisms, Fear, Female, Humans, Male, Mental Recall, Middle Aged, Object Attachment, Parent-Child Relations, Self Efficacy, Social Support",6.0,6.0,Cox,1071.0,"University of Missouri, Columbia",Pyszcynski,22870.0,"University of Colorado, Colorado Springs",Wissink,0.0,Tilburg University,Zeelenberg,8494.0,Tilburg University,74.0,,2.62,2.62,3.03,3.03,6.0,Social,1.0,Collected themselves,Slight expertise required,Moderate opportunity for researcher expectations to influence results,Strong opportunity for lack of diligence to affect the results,3.5,4.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,J Wissink,10/23/14,3-3-2015,J Cohoon,6,t(92)= -2.22,100,0.03,,,independent samples t-test,main effect,participants who scored low on avoidance but high on anxiety demonstrated an increased relative preference for a parent after MS as opposed to dental pain,pr^2 = 0.224,,30,39,48,Complete,100.0,0.99,9,A Laique,t(192) = -.73,200.0,0.47,opposite,2.0,Multiple regression,Simple slope effect,no,0.99,f2 = .05,E Baranski,effect size calculated from a partial R2 of .009165051,1.0,https://osf.io/fg2u9/,PhD or equivalent,1996.0,Professor (or equivalent),Some Expertise,High Expertise,200.0,85.0,8529.0,was of slightly lower quality than the original study,was slightly better than the average study,Very similar,1) We did not randomize the order of relationships in the cellphone task. 2) We did not include relationship status as a control variable.,Not at all similar,Slightly similar,Slightly challenging,Results were slightly surprising,X,1.0,No data used was pre-existing,Social,100.0,t,,1.0,92.0,-2.22,is,0.03,0.028875522,0.028875522,,0.225490086,200.0,t,is,1.0,192.0,-0.725548,is,0.47,0.468999328,0.468999328,,-0.052290282,,independent samples t-test,Multiple regression,,1.0,0.0,1.0,92.0,192.0,0.038588034,0.0,0.0
49.0,Increasing and decreasing motor and cognitive output A model of general action and inaction goals,"D AlbarracÕn, IM Handley, K Noguchi, KC McCulloch, H Li, J Leeper, RD Brown, A Earl, WP Hart",JPSP,95.0,3.0,510-23,https://osf.io/vy1bc/,"Attention, Awareness, Cues, Culture, Decision Making, Feeding Behavior, Female, Goals, Humans, Internal-External Control, Judgment, Male, Mental Recall, Persuasive Communication, Problem Solving, Psychomotor Performance, Semantics, Set (Psychology)",9.0,3.0,AlbarracÕn,5096.0,University of Illinois,AlbarracÕn,5096.0,University of Illinois,Kim,4.0,Stanford University,Frank,1965.0,Stanford University,46.0,,3.85,3.85,6.54,6.54,7.0,Social,1.0,Collected themselves,No expertise required,No opportunity for researcher expectations to influence results,Slight opportunity for lack of diligence to affect the results,3.57,3.28,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,S Kim,1-1-2012,3/15/12,J Cohoon,5,"F(1, 34) = 5.68",36,0.02,,,ANOVA,main effect,participants primed with action words performed better (i.e. solved more number of problems correctly) than participants primed with inaction words did,__p^2 = 0.143,,54,70,86,Complete,86.0,0.95,4,M Frank,"F(1, 86) = .08",88.0,0.77,opposite,2.0,ANOVA,main effect,no,0.96,_^2 = .00096,M Frank,,1.0,https://osf.io/gtewj/,PhD or equivalent,2010.0,Associate Professor (or equivalent),Some Expertise,Some Expertise,80.0,32.0,1995.0,was about the same quality as the original study,was about the same as the average study,Very similar,It was conducted on MTurk.,Not at all similar,Not at all similar,Not at all challenging,Results were moderately surprising,X,1.0,No data used was pre-existing,Developmental,36.0,F,is,1.0,34.0,5.68,is,0.02,0.022889441,0.022889441,,0.378345294,88.0,F,is,1.0,86.0,0.08,is,0.77,0.777977082,0.777977082,,-0.030485538,,ANOVA,ANOVA,,1.0,0.0,1.0,34.0,86.0,0.0893739,0.0,0.0
51.0,The cost of lower selfesteem Testing a selfand socialbonds model of health,"DA Stinson, C Logel, MP Zanna, JG Holmes, JJ Cameron, JV Wood, SJ Spencer",JPSP,94.0,3.0,412-28,https://osf.io/wdhc5/,"Adolescent, Ego, Female, Health Status, Humans, Interpersonal Relations, Male, Models, Psychological, Self Concept, Social Behavior, Stress, Psychological [psychology], Students [psychology]",7.0,1.0,Stinson,403.0,University of Waterloo,Zanna,24873.0,University of Waterloo,Anderson,550.0,Schenectady County Community College,Anderson,550.0,Schenectady County Community College,83.0,,2.98,2.98,1.43,1.43,2.0,Social,1.0,Collected themselves,Moderate expertise required,Slight opportunity for researcher expectations to influence results,Moderate opportunity for lack of diligence to affect the results,3.16,3.67,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,C Anderson,8-8-2014,,J Cohoon,2,CI = -.63 to -.01,203,<.01,,,mediation analyses,confidence intervals,interpersonal stress and number of friends explains the associations between self esteem changes and health problems,X,,181,241,296,Complete,241.0,0.9,1,A Rutchick,,,,,,,,,,,,,,,PhD or equivalent,2002.0,Assistant Professor (or equivalent),Slight Expertise,Some Expertise,6.0,5.0,588.0,was about the same quality as the original study,was about the same as the average study,Moderately similar,"Recruitment of sample mostly from online sources rather than a classroom. Inclusion of students at more than one institution, therefore lack of communication among and common culture of participants.",Not at all similar,Not at all similar,Moderately challenging,Results were moderately surprising,X,1.0,No data used was pre-existing,Cognitive,203.0,,is,,,,<,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.0,Affective incoherence When affective concepts and embodied reactions clash,"DB Centerbar, S Schnall, GL Clore, ED Garvin",JPSP,94.0,4.0,560-78,https://osf.io/l8srm/,"Affect, Attention, Comprehension, Concept Formation, Conflict (Psychology), Cues, Culture, Female, Humans, Male, Memory, Short-Term, Mental Recall, Motivation, Reading, Retention (Psychology)",4.0,7.0,Centerbar,671.0,University of Massachusetts Medical School,Clore,25989.0,University of Virginia,Brown,23.0,Georgia Gwinnett College,Brown,23.0,Georgia Gwinnett College,35.0,,2.91,4.36,1.42,1.42,5.0,Social,1.0,Collected themselves,Slight expertise required,Slight opportunity for researcher expectations to influence results,Slight opportunity for lack of diligence to affect the results,3.12,3.25,4.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,B Brown,11-9-2012,8/26/13,S Mackinnon,5,"F(1, 131) = 5.79",133,<.02,,,RM ANOVA,interaction,affective coherence (as opposed to affective incoherence) produced a linear increase in cognitive complexity across three participant-generated narratives,_^2 = -.04,,64,86,104,Complete,104.0,0.95,1,J Crusius,"F(1, 111) = .99",113.0,0.322,same,,RM ANOVA,interaction,no,0.95,_2 = .014,M Penuliar,,1.0,https://osf.io/g29pw/,PhD or equivalent,2007.0,Assistant Professor (or equivalent),Some Expertise,Some Expertise,2.0,2.0,21.0,was about the same quality as the original study,was slightly better than the average study,Extremely similar,"The participants in the original study were college undergraduates from the University of Virginia, whereas our participants were also undergraduates from Georgia Gwinnett College. Unlike the University of Virginia, Georgia Gwinnett College is an open access institution with a diverse student population (in ethnicity, socioeconomic status, age, and preparedness of college). For example, the sample from UVA had an average age of 19.17 years. Our sample from GGC had an average age of 21.35 years.",Not at all similar,Not at all similar,Somewhat challenging,Results were moderately surprising,X,1.0,No data used was pre-existing,Developmental,133.0,F,is,1.0,131.0,5.79,<,0.02,0.017513309,0.017513309,,0.20573686,113.0,F,is,1.0,111.0,0.99,is,0.322,0.321906461,0.321906461,,0.094021673,,repeated measures 2x3 ANOVA,repeated measures 2x3 ANOVA,,1.0,0.0,1.0,131.0,111.0,0.15627525,1.0,1.0
53.0,Individual differences in the regulation of intergroup bias The role of conflict monitoring and neural signals for control,"DM Amodio, PG Devine, E Harmon-Jones",JPSP,94.0,1.0,60-74,https://osf.io/wkgpq/,"African Americans, Analysis of Variance, Cognition, Conflict (Psychology), European Continental Ancestry Group, Evoked Potentials, Female, Group Processes, Humans, Inhibition (Psychology), Models, Psychological, Motivation, Neuropsychology, Prejudice, United States",3.0,3.0,Amodio,5439.0,NYU,Harmon-Jones,12887.0,Texas A&M University,Johnson,0.0,University of Southern California,Graham,3015.0,University of Southern California,136.0,,5.19,3.45,4.05,4.05,2.0,Social,1.0,Collected themselves,Extreme expertise required,No opportunity for researcher expectations to influence results,Slight opportunity for lack of diligence to affect the results,4.67,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,J Graham,8/15/12,1-1-2014,T Hayes,2,"F(1, 31) = 5.14",48,0.03,,,mixed ANOVA,interaction,"low-prejudice participants whose non-prejudiced responses were motivated by internal (but not external) factors exhibited better control on a stereotype-inhibition task than did participants motivated by a combination of internal and external factors, and that these group differences were specific to response control in the domain of prejudice",__p^2 = .16,0.99,14,18,20,Complete,20.0,0.95,1,C Pernet,"F(1, 73) = 0.432",75.0,0.513,same,,mixed ANOVA,interaction,no,0.99,__p^2 = 0.006,C Pernet,,1.0,https://osf.io/9gky5/,PhD or equivalent,2010.0,Assistant Professor (or equivalent),Moderate Expertise,Moderate Expertise,50.0,30.0,2909.0,was about the same quality as the original study,was better than the average study,Extremely similar,"sample, year of data collection",Slightly similar,Somewhat similar,Slightly challenging,Results were slightly surprising,X,1.0,No data used was pre-existing,Social,48.0,F,is,1.0,31.0,5.14,is,0.03,0.030503191,0.030503191,,0.377126878,75.0,F,is,1.0,73.0,0.432,is,0.513,0.513076239,0.513076239,,0.076700677,,mixed 2x2 ANOVA,mixed 2x2 ANOVA,,1.0,0.0,1.0,31.0,73.0,0.170926407,0.0,0.0
